ID,DATE,TO,FROM,REASON,SERVER,CHANNEL,QUANT_1,QUANT_1_ID,QUANT_2,QUANT_2_ID,QUANT_3,QUANT_3_ID,AVG QUANT,DUPLICATE ID,DISMISSED,CORRECTION ADD,CORRECTION SUB,CORRECTION COMMENT,FINAL QUANT
1027,01/01/2021-00:00:00,bot10#1753,18,mock reason text,mock server,mock channel,0,9,55,0,13,1,22,,,,,,22
1028,01/01/2021-00:00:00,bot15#1843,14,mock reason text,mock server,mock channel,144,7,144,8,0,9,96,,,,,,96
1029,01/01/2021-00:00:00,bot15#1381,20,mock reason text,mock server,mock channel,21,3,55,4,144,5,73,,,,,,73
1030,01/01/2021-00:00:00,bot0#602,2,mock reason text,mock server,mock channel,21,4,21,5,21,6,21,,,,,,21
1031,01/01/2021-00:00:00,bot11#314,2,mock reason text,mock server,mock channel,21,6,21,7,13,8,18,,,,,,18
1032,01/01/2021-00:00:00,bot1#734,41,mock reason text,mock server,mock channel,144,1,144,2,21,3,103,,,,,,103
1033,01/01/2021-00:00:00,bot0#462,47,mock reason text,mock server,mock channel,13,7,55,8,13,9,27,,,,,,27
1034,01/01/2021-00:00:00,bot2#55,3,mock reason text,mock server,mock channel,55,3,144,4,55,5,84,,,,,,84
1035,01/01/2021-00:00:00,bot34#918,41,mock reason text,mock server,mock channel,21,7,13,8,21,9,18,,,,,,18
1036,01/01/2021-00:00:00,bot12#1595,16,mock reason text,mock server,mock channel,13,7,13,8,21,9,15,2299,,,,,0
1037,01/01/2021-00:00:00,bot17#1900,34,mock reason text,mock server,mock channel,144,6,144,7,55,8,114,,,,,,114
1038,01/01/2021-00:00:00,bot9#1400,19,mock reason text,mock server,mock channel,55,2,13,3,21,4,29,,,,,,29
1039,01/01/2021-00:00:00,bot2#1340,26,mock reason text,mock server,mock channel,13,3,21,4,21,5,18,,,,,,18
1040,01/01/2021-00:00:00,bot12#1293,28,mock reason text,mock server,mock channel,0,5,13,6,144,7,52,,,,,,52
1041,01/01/2021-00:00:00,bot2#642,49,mock reason text,mock server,mock channel,21,9,55,0,55,1,43,,,,,,43
1042,01/01/2021-00:00:00,bot10#485,11,mock reason text,mock server,mock channel,144,6,55,7,13,8,70,,,,,,70
1043,01/01/2021-00:00:00,bot1#1761,14,mock reason text,mock server,mock channel,0,0,13,1,21,2,11,,,,,,11
1044,01/01/2021-00:00:00,bot29#1361,24,mock reason text,mock server,mock channel,13,4,13,5,21,6,15,,,,,,15
1045,01/01/2021-00:00:00,bot23#370,42,mock reason text,mock server,mock channel,144,8,13,9,144,0,100,,,,,,100
1046,01/01/2021-00:00:00,bot2#506,28,mock reason text,mock server,mock channel,21,1,0,2,13,3,11,,,,,,11
1047,01/01/2021-00:00:00,bot14#329,7,mock reason text,mock server,mock channel,0,3,0,4,13,5,4,,,,,,4
1048,01/01/2021-00:00:00,bot7#204,8,mock reason text,mock server,mock channel,55,0,55,1,55,2,55,,,,,,55
1049,01/01/2021-00:00:00,bot7#1625,16,mock reason text,mock server,mock channel,55,9,21,0,144,1,73,,TRUE,,,,0
1050,01/01/2021-00:00:00,bot14#1258,42,mock reason text,mock server,mock channel,0,3,55,4,144,5,66,,,,,,66
1051,01/01/2021-00:00:00,bot11#772,26,mock reason text,mock server,mock channel,13,7,0,8,13,9,8,,,,,,8
1052,01/01/2021-00:00:00,bot0#1079,36,mock reason text,mock server,mock channel,0,2,0,3,13,4,4,,,,,,4
1053,01/01/2021-00:00:00,bot22#1460,35,mock reason text,mock server,mock channel,21,2,21,3,55,4,32,,,,,,32
1054,01/01/2021-00:00:00,bot2#1650,24,mock reason text,mock server,mock channel,144,2,55,3,144,4,114,,,,,,114
1055,01/01/2021-00:00:00,bot4#1794,37,mock reason text,mock server,mock channel,55,8,55,9,21,0,43,,,,,,43
1056,01/01/2021-00:00:00,bot10#811,9,mock reason text,mock server,mock channel,55,9,144,0,55,1,84,1907,,,,,0
1057,01/01/2021-00:00:00,bot22#717,46,mock reason text,mock server,mock channel,0,4,0,5,0,6,0,,,1,,addition comment,1
1058,01/01/2021-00:00:00,bot15#460,40,mock reason text,mock server,mock channel,55,3,55,4,0,5,36,,,,,,36
1059,01/01/2021-00:00:00,bot0#1246,12,mock reason text,mock server,mock channel,0,3,0,4,13,5,4,,,,,,4
1060,01/01/2021-00:00:00,bot22#616,22,mock reason text,mock server,mock channel,21,0,21,1,13,2,18,,,,,,18
1061,01/01/2021-00:00:00,bot4#1256,45,mock reason text,mock server,mock channel,55,3,0,4,55,5,36,,,,,,36
1062,01/01/2021-00:00:00,bot15#1518,38,mock reason text,mock server,mock channel,13,0,13,1,55,2,27,,,,,,27
1063,01/01/2021-00:00:00,bot20#441,47,mock reason text,mock server,mock channel,21,0,55,1,21,2,32,,,,,,32
1064,01/01/2021-00:00:00,bot10#946,18,mock reason text,mock server,mock channel,13,6,144,7,13,8,56,,,,15,substraction comment,41
1065,01/01/2021-00:00:00,bot32#293,36,mock reason text,mock server,mock channel,21,6,144,7,55,8,73,,,,,,73
1066,01/01/2021-00:00:00,bot12#291,19,mock reason text,mock server,mock channel,144,7,21,8,55,9,73,,,,,,73
1067,01/01/2021-00:00:00,bot15#407,10,mock reason text,mock server,mock channel,13,0,21,1,0,2,11,,,,,,11
1068,01/01/2021-00:00:00,bot41#40,49,mock reason text,mock server,mock channel,144,1,21,2,0,3,55,,,,,,55
1069,01/01/2021-00:00:00,bot12#1505,34,mock reason text,mock server,mock channel,21,7,144,8,13,9,59,,,,,,59
1070,01/01/2021-00:00:00,bot8#1095,27,mock reason text,mock server,mock channel,13,4,0,5,13,6,8,1040,,,,,0
1071,01/01/2021-00:00:00,bot2#1812,6,mock reason text,mock server,mock channel,21,7,13,8,21,9,18,,,,,,18
1072,01/01/2021-00:00:00,bot0#798,16,mock reason text,mock server,mock channel,21,9,21,0,21,1,21,,,,,,21
1073,01/01/2021-00:00:00,bot23#1215,29,mock reason text,mock server,mock channel,21,2,21,3,144,4,62,,,,46,substraction comment,16
1074,01/01/2021-00:00:00,bot29#1283,25,mock reason text,mock server,mock channel,21,3,13,4,13,5,15,,,,,,15
1075,01/01/2021-00:00:00,bot11#193,36,mock reason text,mock server,mock channel,13,2,13,3,13,4,13,,,,,,13
1076,01/01/2021-00:00:00,bot23#355,19,mock reason text,mock server,mock channel,13,9,13,0,13,1,13,,,,,,13
1077,01/01/2021-00:00:00,bot2#398,27,mock reason text,mock server,mock channel,144,5,55,6,55,7,84,,,,,,84
1078,01/01/2021-00:00:00,bot12#714,12,mock reason text,mock server,mock channel,55,2,13,3,55,4,41,,,,,,41
1079,01/01/2021-00:00:00,bot4#1515,10,mock reason text,mock server,mock channel,21,8,144,9,13,0,59,,,,,,59
1080,01/01/2021-00:00:00,bot0#1502,9,mock reason text,mock server,mock channel,21,9,21,0,21,1,21,,,,,,21
1081,01/01/2021-00:00:00,bot23#1888,49,mock reason text,mock server,mock channel,0,2,0,3,13,4,4,,,,,,4
1082,01/01/2021-00:00:00,bot20#510,32,mock reason text,mock server,mock channel,144,9,144,0,13,1,100,,,,,,100
1083,01/01/2021-00:00:00,bot22#1298,0,mock reason text,mock server,mock channel,21,7,13,8,21,9,18,,,,,,18
1084,01/01/2021-00:00:00,bot7#1476,32,mock reason text,mock server,mock channel,21,5,21,6,13,7,18,,,,,,18
1085,01/01/2021-00:00:00,bot5#1485,21,mock reason text,mock server,mock channel,13,6,21,7,55,8,29,,,,,,29
1086,01/01/2021-00:00:00,bot48#58,38,mock reason text,mock server,mock channel,13,3,21,4,21,5,18,,,,,,18
1087,01/01/2021-00:00:00,bot32#625,43,mock reason text,mock server,mock channel,55,9,55,0,55,1,55,,,,,,55
1088,01/01/2021-00:00:00,bot0#1591,37,mock reason text,mock server,mock channel,0,3,55,4,0,5,18,,,,,,18
1089,01/01/2021-00:00:00,bot41#1505,25,mock reason text,mock server,mock channel,144,1,55,2,144,3,114,,,,,,114
1090,01/01/2021-00:00:00,bot14#1417,29,mock reason text,mock server,mock channel,13,2,21,3,13,4,15,,,,,,15
1091,01/01/2021-00:00:00,bot23#373,30,mock reason text,mock server,mock channel,0,4,144,5,144,6,96,,,,,,96
1092,01/01/2021-00:00:00,bot2#1481,35,mock reason text,mock server,mock channel,144,9,55,0,21,1,73,,,,,,73
1093,01/01/2021-00:00:00,bot0#986,43,mock reason text,mock server,mock channel,21,6,55,7,55,8,43,,,,36,substraction comment,7
1094,01/01/2021-00:00:00,bot10#234,48,mock reason text,mock server,mock channel,55,5,55,6,21,7,43,,,9,,addition comment,52
1095,01/01/2021-00:00:00,bot23#1449,20,mock reason text,mock server,mock channel,21,9,144,0,144,1,103,,,,,,103
1096,01/01/2021-00:00:00,bot2#603,6,mock reason text,mock server,mock channel,144,8,55,9,0,0,66,,,,,,66
1097,01/01/2021-00:00:00,bot0#558,41,mock reason text,mock server,mock channel,144,1,0,2,55,3,66,,,,,,66
1098,01/01/2021-00:00:00,bot12#680,28,mock reason text,mock server,mock channel,13,1,144,2,21,3,59,,,,,,59
1099,01/01/2021-00:00:00,bot23#22,21,mock reason text,mock server,mock channel,55,2,21,3,21,4,32,,,,,,32
1100,01/01/2021-00:00:00,bot23#410,29,mock reason text,mock server,mock channel,144,1,21,2,144,3,103,,,,,,103
1101,01/01/2021-00:00:00,bot0#1039,40,mock reason text,mock server,mock channel,21,0,55,1,13,2,29,,,,,,29
1102,01/01/2021-00:00:00,bot10#860,36,mock reason text,mock server,mock channel,21,5,21,6,13,7,18,,,,,,18
1103,01/01/2021-00:00:00,bot14#1440,45,mock reason text,mock server,mock channel,55,8,0,9,144,0,66,,,,,,66
1104,01/01/2021-00:00:00,bot17#606,21,mock reason text,mock server,mock channel,55,0,0,1,55,2,36,,,,,,36
1105,01/01/2021-00:00:00,bot4#746,34,mock reason text,mock server,mock channel,21,0,13,1,21,2,18,,,,,,18
1106,01/01/2021-00:00:00,bot0#262,20,mock reason text,mock server,mock channel,144,3,55,4,55,5,84,,,48,,addition comment,132
1107,01/01/2021-00:00:00,bot1#1734,17,mock reason text,mock server,mock channel,144,4,144,5,0,6,96,,,,,,96
1108,01/01/2021-00:00:00,bot4#407,46,mock reason text,mock server,mock channel,144,0,144,1,55,2,114,,,,,,114
1109,01/01/2021-00:00:00,bot12#1113,9,mock reason text,mock server,mock channel,13,8,0,9,13,0,8,,,,,,8
1110,01/01/2021-00:00:00,bot34#560,33,mock reason text,mock server,mock channel,0,5,144,6,0,7,48,,,,,,48
1111,01/01/2021-00:00:00,bot12#665,15,mock reason text,mock server,mock channel,144,3,144,4,144,5,144,,,,,,144
1112,01/01/2021-00:00:00,bot1#286,20,mock reason text,mock server,mock channel,55,0,55,1,144,2,84,,,,,,84
1113,01/01/2021-00:00:00,bot8#1024,24,mock reason text,mock server,mock channel,0,6,13,7,0,8,4,,,,,,4
1114,01/01/2021-00:00:00,bot36#1439,33,mock reason text,mock server,mock channel,144,6,144,7,21,8,103,,,,,,103
1115,01/01/2021-00:00:00,bot2#1437,25,mock reason text,mock server,mock channel,13,0,55,1,13,2,27,,,,,,27
1116,01/01/2021-00:00:00,bot20#631,17,mock reason text,mock server,mock channel,13,6,21,7,21,8,18,,,,,,18
1117,01/01/2021-00:00:00,bot10#1779,47,mock reason text,mock server,mock channel,13,4,13,5,0,6,8,,,,,,8
1118,01/01/2021-00:00:00,bot2#879,19,mock reason text,mock server,mock channel,0,7,21,8,13,9,11,,,,,,11
1119,01/01/2021-00:00:00,bot11#1713,39,mock reason text,mock server,mock channel,0,1,0,2,0,3,0,,,,,,0
1120,01/01/2021-00:00:00,bot12#1875,9,mock reason text,mock server,mock channel,13,4,144,5,21,6,59,,,,,,59
1121,01/01/2021-00:00:00,bot1#1985,25,mock reason text,mock server,mock channel,13,1,144,2,0,3,52,,,,,,52
1122,01/01/2021-00:00:00,bot29#852,30,mock reason text,mock server,mock channel,55,6,144,7,0,8,66,,,,,,66
1123,01/01/2021-00:00:00,bot0#351,16,mock reason text,mock server,mock channel,144,5,13,6,144,7,100,,,,,,100
1124,01/01/2021-00:00:00,bot14#359,1,mock reason text,mock server,mock channel,0,8,0,9,144,0,48,,,,,,48
1125,01/01/2021-00:00:00,bot3#1249,17,mock reason text,mock server,mock channel,144,5,0,6,144,7,96,,,,,,96
1126,01/01/2021-00:00:00,bot30#525,19,mock reason text,mock server,mock channel,55,2,21,3,55,4,43,,,,,,43
1127,01/01/2021-00:00:00,bot0#1998,46,mock reason text,mock server,mock channel,55,7,0,8,55,9,36,,,,,,36
1128,01/01/2021-00:00:00,bot1#913,13,mock reason text,mock server,mock channel,0,5,0,6,0,7,0,,,,,,0
1129,01/01/2021-00:00:00,bot10#278,18,mock reason text,mock server,mock channel,13,1,0,2,55,3,22,,,,,,22
1130,01/01/2021-00:00:00,bot15#54,12,mock reason text,mock server,mock channel,0,9,13,0,0,1,4,,,,,,4
1131,01/01/2021-00:00:00,bot10#1500,11,mock reason text,mock server,mock channel,13,7,0,8,13,9,8,,,,,,8
1132,01/01/2021-00:00:00,bot10#299,30,mock reason text,mock server,mock channel,144,2,0,3,55,4,66,,,,,,66
1133,01/01/2021-00:00:00,bot15#1902,25,mock reason text,mock server,mock channel,55,6,55,7,21,8,43,,,,,,43
1134,01/01/2021-00:00:00,bot2#326,29,mock reason text,mock server,mock channel,13,5,0,6,21,7,11,,,,,,11
1135,01/01/2021-00:00:00,bot5#465,47,mock reason text,mock server,mock channel,13,8,55,9,21,0,29,,,,,,29
1136,01/01/2021-00:00:00,bot0#610,21,mock reason text,mock server,mock channel,21,7,144,8,13,9,59,,,,,,59
1137,01/01/2021-00:00:00,bot17#881,25,mock reason text,mock server,mock channel,55,6,55,7,21,8,43,,,,,,43
1138,01/01/2021-00:00:00,bot7#1196,44,mock reason text,mock server,mock channel,21,3,55,4,0,5,25,,,,5,substraction comment,20
1139,01/01/2021-00:00:00,bot0#397,25,mock reason text,mock server,mock channel,21,0,0,1,55,2,25,,,,,,25
1140,01/01/2021-00:00:00,bot0#872,48,mock reason text,mock server,mock channel,55,7,13,8,55,9,41,,,,,,41
1141,01/01/2021-00:00:00,bot14#1291,27,mock reason text,mock server,mock channel,21,4,0,5,0,6,7,,,,,,7
1142,01/01/2021-00:00:00,bot4#1752,38,mock reason text,mock server,mock channel,21,1,21,2,21,3,21,,,,,,21
1143,01/01/2021-00:00:00,bot12#1221,44,mock reason text,mock server,mock channel,0,5,55,6,0,7,18,,,,,,18
1144,01/01/2021-00:00:00,bot7#326,24,mock reason text,mock server,mock channel,0,3,144,4,0,5,48,,,,,,48
1145,01/01/2021-00:00:00,bot9#1007,17,mock reason text,mock server,mock channel,55,2,144,3,21,4,73,,,,,,73
1146,01/01/2021-00:00:00,bot10#55,47,mock reason text,mock server,mock channel,13,3,21,4,13,5,15,,,,,,15
1147,01/01/2021-00:00:00,bot15#1718,29,mock reason text,mock server,mock channel,21,8,21,9,13,0,18,,,,,,18
1148,01/01/2021-00:00:00,bot48#988,27,mock reason text,mock server,mock channel,21,7,13,8,144,9,59,,TRUE,,,,0
1149,01/01/2021-00:00:00,bot20#1760,11,mock reason text,mock server,mock channel,55,1,144,2,144,3,114,,,,,,114
1150,01/01/2021-00:00:00,bot10#965,2,mock reason text,mock server,mock channel,0,9,0,0,0,1,0,,,,,,0
1151,01/01/2021-00:00:00,bot5#306,41,mock reason text,mock server,mock channel,0,0,13,1,144,2,52,,,,,,52
1152,01/01/2021-00:00:00,bot23#660,0,mock reason text,mock server,mock channel,55,6,55,7,55,8,55,,,,,,55
1153,01/01/2021-00:00:00,bot32#1572,48,mock reason text,mock server,mock channel,21,9,21,0,21,1,21,,,,,,21
1154,01/01/2021-00:00:00,bot1#1336,22,mock reason text,mock server,mock channel,0,2,0,3,13,4,4,,,,,,4
1155,01/01/2021-00:00:00,bot2#753,13,mock reason text,mock server,mock channel,0,5,0,6,13,7,4,,TRUE,,,,0
1156,01/01/2021-00:00:00,bot5#214,42,mock reason text,mock server,mock channel,144,2,144,3,144,4,144,,,,53,substraction comment,91
1157,01/01/2021-00:00:00,bot7#1531,6,mock reason text,mock server,mock channel,0,3,144,4,13,5,52,,,8,,addition comment,60
1158,01/01/2021-00:00:00,bot2#1812,38,mock reason text,mock server,mock channel,144,2,144,3,0,4,96,,,,50,substraction comment,46
1159,01/01/2021-00:00:00,bot48#1326,19,mock reason text,mock server,mock channel,21,7,13,8,0,9,11,,,,,,11
1160,01/01/2021-00:00:00,bot0#295,2,mock reason text,mock server,mock channel,144,4,13,5,144,6,100,,,,,,100
1161,01/01/2021-00:00:00,bot41#1129,26,mock reason text,mock server,mock channel,13,6,55,7,0,8,22,,,,,,22
1162,01/01/2021-00:00:00,bot10#533,21,mock reason text,mock server,mock channel,144,6,0,7,144,8,96,,,,,,96
1163,01/01/2021-00:00:00,bot0#1508,49,mock reason text,mock server,mock channel,144,9,55,0,144,1,114,,,,,,114
1164,01/01/2021-00:00:00,bot1#949,36,mock reason text,mock server,mock channel,144,9,0,0,144,1,96,,TRUE,,,,0
1165,01/01/2021-00:00:00,bot0#165,37,mock reason text,mock server,mock channel,144,5,13,6,0,7,52,,,,,,52
1166,01/01/2021-00:00:00,bot12#1437,47,mock reason text,mock server,mock channel,13,7,13,8,13,9,13,,,,,,13
1167,01/01/2021-00:00:00,bot20#1486,4,mock reason text,mock server,mock channel,13,5,13,6,0,7,8,,,,,,8
1168,01/01/2021-00:00:00,bot30#1433,5,mock reason text,mock server,mock channel,55,0,13,1,55,2,41,,,,,,41
1169,01/01/2021-00:00:00,bot4#1559,37,mock reason text,mock server,mock channel,21,8,21,9,0,0,14,,,,,,14
1170,01/01/2021-00:00:00,bot29#683,6,mock reason text,mock server,mock channel,21,4,55,5,13,6,29,,,,,,29
1171,01/01/2021-00:00:00,bot1#552,33,mock reason text,mock server,mock channel,0,6,13,7,13,8,8,,,,,,8
1172,01/01/2021-00:00:00,bot2#508,23,mock reason text,mock server,mock channel,55,3,0,4,21,5,25,,,,,,25
1173,01/01/2021-00:00:00,bot36#1521,18,mock reason text,mock server,mock channel,21,4,21,5,13,6,18,,,,,,18
1174,01/01/2021-00:00:00,bot2#29,27,mock reason text,mock server,mock channel,0,9,0,0,144,1,48,,,,,,48
1175,01/01/2021-00:00:00,bot4#1201,22,mock reason text,mock server,mock channel,55,0,55,1,13,2,41,,,,,,41
1176,01/01/2021-00:00:00,bot23#381,22,mock reason text,mock server,mock channel,144,3,55,4,0,5,66,,,,,,66
1177,01/01/2021-00:00:00,bot0#1065,30,mock reason text,mock server,mock channel,144,2,13,3,144,4,100,,,,,,100
1178,01/01/2021-00:00:00,bot15#580,20,mock reason text,mock server,mock channel,0,5,0,6,21,7,7,,,,,,7
1179,01/01/2021-00:00:00,bot1#1212,39,mock reason text,mock server,mock channel,55,9,21,0,0,1,25,,,,,,25
1180,01/01/2021-00:00:00,bot0#1958,35,mock reason text,mock server,mock channel,13,8,13,9,13,0,13,2491,,,,,0
1181,01/01/2021-00:00:00,bot3#1999,16,mock reason text,mock server,mock channel,144,8,0,9,13,0,52,,TRUE,,,,0
1182,01/01/2021-00:00:00,bot11#111,26,mock reason text,mock server,mock channel,144,5,55,6,21,7,73,,,,,,73
1183,01/01/2021-00:00:00,bot36#203,5,mock reason text,mock server,mock channel,21,1,0,2,13,3,11,,,,,,11
1184,01/01/2021-00:00:00,bot11#1215,10,mock reason text,mock server,mock channel,0,0,21,1,55,2,25,,,,,,25
1185,01/01/2021-00:00:00,bot15#1226,24,mock reason text,mock server,mock channel,13,3,13,4,0,5,8,,,,,,8
1186,01/01/2021-00:00:00,bot34#729,2,mock reason text,mock server,mock channel,55,0,144,1,55,2,84,,,,,,84
1187,01/01/2021-00:00:00,bot23#415,43,mock reason text,mock server,mock channel,144,7,144,8,13,9,100,,,,,,100
1188,01/01/2021-00:00:00,bot30#1203,22,mock reason text,mock server,mock channel,55,2,21,3,55,4,43,,,,,,43
1189,01/01/2021-00:00:00,bot32#1972,19,mock reason text,mock server,mock channel,0,0,21,1,13,2,11,1367,,,,,0
1190,01/01/2021-00:00:00,bot41#575,27,mock reason text,mock server,mock channel,13,2,21,3,13,4,15,,,,,,15
1191,01/01/2021-00:00:00,bot10#1595,49,mock reason text,mock server,mock channel,0,2,55,3,55,4,36,,,,,,36
1192,01/01/2021-00:00:00,bot14#435,33,mock reason text,mock server,mock channel,13,4,21,5,55,6,29,,,,,,29
1193,01/01/2021-00:00:00,bot17#1277,10,mock reason text,mock server,mock channel,13,9,13,0,13,1,13,,,,,,13
1194,01/01/2021-00:00:00,bot2#1677,44,mock reason text,mock server,mock channel,21,8,0,9,21,0,14,,,,,,14
1195,01/01/2021-00:00:00,bot32#1991,1,mock reason text,mock server,mock channel,13,4,0,5,21,6,11,,,,,,11
1196,01/01/2021-00:00:00,bot5#812,17,mock reason text,mock server,mock channel,55,3,55,4,13,5,41,2499,,,,,0
1197,01/01/2021-00:00:00,bot4#842,44,mock reason text,mock server,mock channel,144,2,55,3,55,4,84,,,,,,84
1198,01/01/2021-00:00:00,bot2#363,22,mock reason text,mock server,mock channel,144,0,55,1,0,2,66,,,,,,66
1199,01/01/2021-00:00:00,bot17#1630,6,mock reason text,mock server,mock channel,0,4,144,5,0,6,48,,,,,,48
1200,01/01/2021-00:00:00,bot11#829,13,mock reason text,mock server,mock channel,55,6,55,7,55,8,55,,,,,,55
1201,01/01/2021-00:00:00,bot8#201,26,mock reason text,mock server,mock channel,0,7,13,8,13,9,8,,,,4,substraction comment,4
1202,01/01/2021-00:00:00,bot12#476,5,mock reason text,mock server,mock channel,55,1,144,2,13,3,70,,,,,,70
1203,01/01/2021-00:00:00,bot11#1988,38,mock reason text,mock server,mock channel,13,3,144,4,13,5,56,,,,,,56
1204,01/01/2021-00:00:00,bot5#1370,12,mock reason text,mock server,mock channel,144,4,21,5,21,6,62,,,,,,62
1205,01/01/2021-00:00:00,bot8#1352,0,mock reason text,mock server,mock channel,13,9,0,0,0,1,4,,,,,,4
1206,01/01/2021-00:00:00,bot12#722,28,mock reason text,mock server,mock channel,55,0,144,1,13,2,70,,,,,,70
1207,01/01/2021-00:00:00,bot17#910,49,mock reason text,mock server,mock channel,144,6,144,7,55,8,114,,,,,,114
1208,01/01/2021-00:00:00,bot48#1761,35,mock reason text,mock server,mock channel,21,4,21,5,21,6,21,,,,,,21
1209,01/01/2021-00:00:00,bot7#1397,26,mock reason text,mock server,mock channel,144,2,55,3,144,4,114,,,,,,114
1210,01/01/2021-00:00:00,bot11#455,34,mock reason text,mock server,mock channel,55,0,21,1,55,2,43,,,,38,substraction comment,5
1211,01/01/2021-00:00:00,bot36#948,12,mock reason text,mock server,mock channel,55,2,21,3,0,4,25,,,,,,25
1212,01/01/2021-00:00:00,bot5#1378,20,mock reason text,mock server,mock channel,144,7,144,8,144,9,144,,,,,,144
1213,01/01/2021-00:00:00,bot34#388,26,mock reason text,mock server,mock channel,21,8,21,9,21,0,21,,,,,,21
1214,01/01/2021-00:00:00,bot15#1835,48,mock reason text,mock server,mock channel,55,0,55,1,13,2,41,,,,,,41
1215,01/01/2021-00:00:00,bot36#1005,18,mock reason text,mock server,mock channel,144,0,13,1,144,2,100,,,,,,100
1216,01/01/2021-00:00:00,bot0#1167,9,mock reason text,mock server,mock channel,21,2,55,3,21,4,32,,,,,,32
1217,01/01/2021-00:00:00,bot36#312,31,mock reason text,mock server,mock channel,55,1,0,2,55,3,36,,,,,,36
1218,01/01/2021-00:00:00,bot5#1787,1,mock reason text,mock server,mock channel,13,2,0,3,13,4,8,,,,,,8
1219,01/01/2021-00:00:00,bot10#1486,32,mock reason text,mock server,mock channel,21,5,21,6,144,7,62,,,,,,62
1220,01/01/2021-00:00:00,bot23#1700,2,mock reason text,mock server,mock channel,55,0,144,1,144,2,114,,,,,,114
1221,01/01/2021-00:00:00,bot22#790,35,mock reason text,mock server,mock channel,0,9,0,0,0,1,0,,,,,,0
1222,01/01/2021-00:00:00,bot29#299,16,mock reason text,mock server,mock channel,13,6,13,7,13,8,13,,,,,,13
1223,01/01/2021-00:00:00,bot4#898,30,mock reason text,mock server,mock channel,13,4,144,5,0,6,52,2235,,,,,0
1224,01/01/2021-00:00:00,bot2#284,7,mock reason text,mock server,mock channel,0,8,0,9,21,0,7,,,,,,7
